Study,Subject,Group,Session,Metric,Metric_value,State
SRM,036,SRM,t1,bad_by_deviation,1,original
SRM,037,SRM,t1,bad_by_hf_noise,2,original
SRM,038,SRM,t1,bad_by_correlation,4,original
SRM,038,SRM,t2,bad_by_SNR,1,original
SRM,039,SRM,t1,bad_by_dropout,0,original
SRM,040,SRM,t1,bad_by_ransac,0,original
SRM,041,SRM,t1,bad_all,5,original
SRM,042,SRM,t1,bad_by_nan,0,before_interpolation
SRM,042,SRM,t2,bad_by_flat,0,before_interpolation
SRM,043,SRM,t1,bad_by_deviation,1,before_interpolation
SRM,043,SRM,t2,bad_by_hf_noise,2,before_interpolation
SRM,044,SRM,t1,bad_by_correlation,4,before_interpolation
SRM,045,SRM,t1,bad_by_SNR,1,before_interpolation
SRM,046,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,046,SRM,t2,bad_by_ransac,0,before_interpolation
SRM,047,SRM,t1,bad_all,5,before_interpolation
SRM,047,SRM,t2,bad_by_nan,0,after_interpolation
SRM,048,SRM,t1,bad_by_flat,0,after_interpolation
SRM,048,SRM,t2,bad_by_deviation,0,after_interpolation
SRM,049,SRM,t1,bad_by_hf_noise,2,after_interpolation
SRM,050,SRM,t1,bad_by_correlation,0,after_interpolation
SRM,051,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,051,SRM,t2,bad_by_dropout,0,after_interpolation
SRM,052,SRM,t1,bad_by_ransac,0,after_interpolation
SRM,053,SRM,t1,bad_all,2,after_interpolation
SRM,054,SRM,t1,bad_by_nan,0,original
SRM,055,SRM,t1,bad_by_flat,0,original
SRM,056,SRM,t1,bad_by_deviation,1,original
SRM,057,SRM,t1,bad_by_hf_noise,6,original
SRM,058,SRM,t1,bad_by_correlation,2,original
SRM,058,SRM,t2,bad_by_SNR,1,original
SRM,059,SRM,t1,bad_by_dropout,0,original
SRM,060,SRM,t1,bad_by_ransac,0,original
SRM,060,SRM,t2,bad_all,7,original
SRM,061,SRM,t1,bad_by_nan,0,before_interpolation
SRM,062,SRM,t1,bad_by_flat,0,before_interpolation
SRM,063,SRM,t1,bad_by_deviation,1,before_interpolation
SRM,064,SRM,t1,bad_by_hf_noise,6,before_interpolation
SRM,064,SRM,t2,bad_by_correlation,2,before_interpolation
SRM,065,SRM,t1,bad_by_SNR,1,before_interpolation
SRM,066,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,067,SRM,t1,bad_by_ransac,0,before_interpolation
SRM,068,SRM,t1,bad_all,7,before_interpolation
SRM,068,SRM,t2,bad_by_nan,0,after_interpolation
SRM,069,SRM,t1,bad_by_flat,0,after_interpolation
SRM,069,SRM,t2,bad_by_deviation,0,after_interpolation
SRM,070,SRM,t1,bad_by_hf_noise,0,after_interpolation
SRM,070,SRM,t2,bad_by_correlation,0,after_interpolation
SRM,071,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,071,SRM,t2,bad_by_dropout,0,after_interpolation
SRM,072,SRM,t1,bad_by_ransac,0,after_interpolation
SRM,073,SRM,t1,bad_all,0,after_interpolation
SRM,074,SRM,t1,bad_by_nan,0,original
SRM,074,SRM,t2,bad_by_flat,0,original
SRM,075,SRM,t1,bad_by_deviation,0,original
SRM,075,SRM,t2,bad_by_hf_noise,4,original
SRM,076,SRM,t1,bad_by_correlation,3,original
SRM,076,SRM,t2,bad_by_SNR,1,original
SRM,077,SRM,t1,bad_by_dropout,0,original
SRM,077,SRM,t2,bad_by_ransac,1,original
SRM,078,SRM,t1,bad_all,7,original
SRM,079,SRM,t1,bad_by_nan,0,before_interpolation
SRM,080,SRM,t1,bad_by_flat,0,before_interpolation
SRM,081,SRM,t1,bad_by_deviation,0,before_interpolation
SRM,082,SRM,t1,bad_by_hf_noise,4,before_interpolation
SRM,082,SRM,t2,bad_by_correlation,3,before_interpolation
SRM,083,SRM,t1,bad_by_SNR,1,before_interpolation
SRM,084,SRM,t1,bad_by_dropout,0,before_interpolation
